YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2015,2015,MT,Montana,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,15.7,15.7,,,13.3,18.1,Overall,Overall,,,,,POINT (-109.42442064499971 47.06652897200047),,30,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2018,2018,ND,North Dakota,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,17.6,17.6,,,13.6,22.3,Gender,Male,,,,,POINT (-100.11842104899966 47.47531977900047),,38,ALC,ALC6_0,AGEADJRATE,GENDER,GENM,,,,
2010,2010,CA,California,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,7.4,7.4,,,7,7.7,Gender,Female,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2015,2015,CA,California,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,8.6,8.6,,,8.2,9,Gender,Female,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2012,2012,CO,Colorado,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,8.1,8.1,,,7,9.1,Gender,Female,,,,,POINT (-106.13361092099967 38.843840757000464),,08,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2014,2014,FL,Florida,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,11.8,11.8,,,11.4,12.3,Overall,Overall,,,,,POINT (-81.92896053899966 28.932040377000476),,12,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2013,2013,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,5.8,5.8,,,4.7,7,Gender,Female,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2018,2018,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,15.5,15.5,,,13.6,17.4,Gender,Male,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,GENDER,GENM,,,,
2015,2015,AZ,Arizona,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,11.2,11.2,,,10.1,12.2,Gender,Female,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2011,2011,AZ,Arizona,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,9.3,9.3,,,8.3,10.3,Gender,Female,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
